name1,name2,street1,street2,city,state,zip,GEOID,GEOID_Just_Tract,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,cbt,dbt,tele,saca,trc,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,mmd,mpep,fed,sotp,dea,samf,mhpa,hbt,hct,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f19,f25,f28
Kolmac Outpatient Recovery Centers,,1411 K Street NW,Suite 703,Washington,DC,20005,1.10E+14,1010,District of Columbia,202-638-1992,Intakes,888-321-5251,888-244-4421,http://www.kolmac.com,38.9028791,-77.0325632,SU,1,,,,1,,1,1,1,1,,,,,,,,,1,,1,1,1,,,1,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,,,,1,1,,,,1,,1,1,,,,,,,,1,1,,,,,1,1,,,,,,1,1,1,1,,1,,,1,1,,,1,,,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,,,1,,,1,,1,,1,1,1,1,1,,,,,1,,1,1,1,1,1,,1,,1,1,1,1,,1,,1,,,,,,,1,1,,1,,,,,1,,1,,1,1,1,,,,,,,1,,,,,,,,,,,1,,,,,1,,,
Whitman Walker Clinic/Mental Hlth and,Addiction Treatment Services,1525 14th Street NW,Floor 5-R,Washington,DC,20005,1.10E+14,1005,District of Columbia,202-745-7000,,,,http://www.whitman-walker.org,38.9104721,-77.0315736,SU,1,1,,,1,1,1,1,1,1,,1,,,,1,,,1,,1,1,1,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,1,1,1,,,1,,1,1,,,,,,,,,,1,1,1,1,,1,,,,,1,,1,1,1,1,,,,1,,1,,1,,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,1,,1,,1,1,,1,1,1,1,,,,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,,,,,,1,1,,,,1,1,1,1,,1,1,1,1,,,1,,1,1,,1,1,,,,1,1,1,1,1,1,,,,,,1,,,
Hillcrest Children and Family Center,,915 Rhode Island Avenue NW,,Washington,DC,20001,1.10E+14,1004,District of Columbia,202-232-6100,,,,http://www.hillcrest-dc.org/,38.911691,-77.0247585,SU,1,,,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,,,1,,1,,,1,1,,,1,,,1,,1,1,1,1,,1,,1,1,,,,,1,1,1,1,1,1,1,,,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,1,,,,1,,,,,,,1,1,,,,1,,,,,,1,,,1,,,1,,,,1,,,,,,,,,
Partners in Drug Abuse Rehab and,Counseling (PIDARC),2112 F Street NW,Suite 102,Washington,DC,20037,1.10E+14,1010,District of Columbia,202-296-4455,,,,http://pidarcdc.org,38.8971338,-77.0471365,SU,1,,1,,,,,,,,1,,,,,,,1,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,,,1,,,1,,1,1,1,1,,,,,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,1,,,,,1,1,,1,1,1,,,,1,1,,1,1,,1,
BayMark Health Services of West Virginia Inc.,PIDARC,"2112 F St., Northwest, Suite 101,102, 402, 404B",,Washington,DC,20037,1.10E+14,1010,,(202) 296-4455,,,,,38.8971542,-77.0471954,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Samaritan Inns,Adult Treatment Program,2523 14th Street NW,,Washington,DC,20009,1.10E+14,1003,District of Columbia,202-667-8831 x264,,,,http://www.samaritaninns.org,38.9233075,-77.0315803,SU,1,,,,,,,1,,,,1,,,,1,,,1,,1,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,1,,,1,,,,,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,,,,,,,1,1,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,,,,,,,1,1,,,1,,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,,,,,,,,1,1,1,1,,,,1,,1,1,,,,,,,1,1,,1,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,
So Others Might Eat Inc (SOME),,60 O Street NW,,Washington,DC,20001,1.10E+14,1004,District of Columbia,202-797-8806 x1000,,202-381-0899,,http://www.some.org,38.9082548,-77.0111183,SU,1,,,,1,,,1,1,1,,,,,,1,,,1,,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,1,1,,,,,,1,,,1,1,1,,,,1,1,1,,1,,,,,,1,,,1,1,,1,,,,1,,,,,,,1,1,1,,,1,,1,1,,,1,,,1,1,1,1,,,1,,,1,,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,,1,1,,1,1,,1,,1,1,1,1,1,,1,1,,1,1,,,1,1,,1,1,,,,,,,,1,1,,,,,,1,1,,1,,,,,,1,1,1,,,,1,,,,,,,
Samaritan Inns Inc,Huff House,2500 Ontario Road NW,,Washington,DC,20009,1.10E+14,1003,District of Colu,202-667-8831,,202-621-7447,,http://www.samaritaninns.org,38.9232287,-77.0403791,SU,1,,,,1,,,1,,1,,,,1,,1,,,1,,1,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,1,,,,,1,1,1,,,1,1,,,1,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,1,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,,1,,1,1,1,,,,1,1,1,,,,,1,,1,,,,1,1,,1,1,1,,1,1,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,,
Clean and Sober Streets,,425 2nd Street NW,Suite 2-N,Washington,DC,20001,1.10E+14,1005,District of Columbia,202-783-7343,,202-727-8473,,http://www.cleanandsoberstreets.org,38.89559823,-77.01366138,SU,1,,,,,,,,,,,,,,,1,,,1,,,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,1,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,1,,,1,1,1,1,,,1,,1,1,,,1,1,1,,,1,1,1,,1,,,,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,1,,1,,,,,,,,,
Safe Haven Outreach Ministry Inc,Marks Place at Sibley Plaza,1140 North Capitol Street NW,Suite 924,Washington,DC,20002,1.10E+14,1006,District of Columbia,202-589-1505 x303,,202-589-1505 x315,,http://www.safehavenoutreachministry.org,38.9049394,-77.0095301,SU,1,,,,1,,,1,1,,,1,,,,1,,,1,,,1,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,,,1,,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,,1,1,,,1,,1,1,,1,,,,1,,1,,,,1,1,,1,1,,,1,1,,1,,,,,,1,1,,,,,1,,1,1,1,,,,,,,,,
Samaritan Inns,Mens Transitional/Treatment,1215 Fairmont Street NW,,Washington,DC,20009,1.10E+14,1003,District of Columbia,202-292-2066,,,,http://www.samaritaninns.org,38.9249785,-77.028481,SU,1,,,,1,,,1,,1,,,,1,,1,,,1,,1,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,1,,,,,1,1,1,,,1,1,,,,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,,1,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,,1,,1,1,1,,,,1,1,1,,,,,1,,1,,,,1,1,,1,1,1,,1,1,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,,
Samaritan Inns Inc,Clark Inn,1422 Harvard Street NW,,Washington,DC,20009,1.10E+14,1003,District of Columbia,202-667-8831,,,,http://www.samaritaninns.org,38.9262287,-77.0334403,SU,1,,,,1,,,1,,1,,,,1,,1,,,1,,1,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,1,,,,,1,,1,,,1,1,,1,1,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,,,,1,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,,1,,1,1,1,,,,1,1,1,,,,,1,,1,,,,1,1,,1,1,1,,1,1,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,,
Latin American Youth Center,Substance Use Disorder Treatment,1419 Columbia Road NW,,Washington,DC,20009,1.10E+14,1002,District of Columbia,202-319-2225,Intakes,202-319-2229,202-321-3369,http://www.layc-dc.org,38.9277554,-77.0332829,SU,1,,,,,,,,,,,,1,,,,,,1,,1,,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,1,,,,,1,,1,,1,1,,,,,1,,1,,,,,1,1,1,1,,,,,,,,1,1,1,1,,1,1,1,,,,1,,1,1,1,1,1,,,,,,,,1,1,,1,,1,,1,1,1,1,,,1,1,1,,1,1,1,1,1,,,1,,1,,1,1,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
Regional Addiction Prevention Inc,(RAP)/Residential and Outpt Trt Fac,1949 4th Street NE,,Washington,DC,20002,1.10E+14,1008,District of Columbia,202-462-7500,,202-462-7500 x1234,,http://rapinc.org,38.9169161,-77.000284,SU,1,1,,,1,1,1,1,,1,,,,,,1,,,1,,1,1,1,,1,,,1,1,1,,1,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,1,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,,1,,,1,1,1,1,,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,,,,,,1,1,1,1,1,,,1,,1,1,1,,1,,,,,,,1,1,1,,1,,,,,1,,,,,,,1,1,,1,,,,,,,,,
Department of Veterans Affairs Community Clinic,Washington DC VA Medical Center,50 Irving Street N.W.,,Washington,DC,20422,1.10E+14,1002,,(202) 745-8000 x8336,,,,,38.9273491,-77.0096755,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
