name1,name2,street1,street2,city,state,zip,GEOID,GEOID_Just_Tract,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,cbt,dbt,tele,saca,trc,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,mmd,mpep,fed,sotp,dea,samf,mhpa,hbt,hct,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f19,f25,f28
Veterans Affairs Medical Center,Substance Abuse Recovery Program,50 Irving Street NW 3-C North,Unit 116-A,Washington,DC,20422,1.10E+14,1002,District of Columbia,202-745-8336,,,,http://www.va.gov,38.9289408,-77.0098896,SU,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,1,1,,1,1,1,1,,,1,,1,,,,1,1,1,1,1,1,1,,1,,1,,,,,,,,,,1,,,,,,1,1,1,,1,,1,,,,,,1,1,,,,1,,1,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,1,1,1,,1,1,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,,,,,,1,1,,,,1,,,1,1,1,1,1,1,,1,1,,1,1,,1,,1,1,1,,1,,1,,1,,,,,,1,,,
Circles of Hope Psychotherapy and,Addictions Services,3000 Connecticut Avenue NW,Suite 321,Washington,DC,20008,1.10E+14,1000,District of Columbia,202-265-2343,,,202-997-1448,http://circlesofhopellc.com,38.9298279,-77.0558376,SU,1,,,,,,,,,,,,1,,,,,,1,,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,1,,,1,,1,1,1,1,,1,,1,1,1,,,,1,1,1,1,1,1,1,,,,,,,1,,1,1,1,,,,,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,1,1,,,,,,,,,
Andromeda Transcultural Health,,1400 Decatur Street NW,,Washington,DC,20011,1.10E+14,1002,District of Columbia,202-291-4707 x128,Intakes,202-291-4707 x108,202-291-4707 x104,http://www.andromedahealth.org,38.9480875,-77.0330805,SU,1,,,,1,,1,1,1,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,1,,,,,,1,1,,,,,,,,,1,1,,1,,,,1,,,,,,,1,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,1,1,,,,,,,1,1,,,,1,1,1,,1,1,,,,,,,,,,,1,1,,1,,1,1,1,1,,,1,,,,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,
Community Action Group (CAG),Outpatient,124 15th Street SE,,Washington,DC,20003,1.10E+14,1006,District of Columbia,202-543-4558,,202-543-4558 x4,,http://communityactiongroup.org/,38.8879631,-76.9835056,SU,1,,,,,,,,,,,,,,,1,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,1,1,,1,,,1,,,1,,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,1,,1,,,1,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,1,,1,,1,,1,1,1,,,,,,,,,,1,1,1,,1,,,1,,1,,1,,,,,,1,,1,1,1,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,
Wellness Health Services LLC,The ARK of DC,"1818 New York Avenue, NE",,Washington,DC,20002,1.10E+14,1011,,(770) 331-7912,,,,,38.9177239,-76.9767437,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
UPO Comprehensive Treatment Center,,"1900 Massachusetts Avenue, S.E. Bldg. 13",,Washington,DC,20003,1.10E+14,1006,,(202) 682-6599,,,,,38.884869,-76.978138,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DOC Central Detention Facility Methadone Program,DC Jail,1900 D Street SE,,Washington,DC,20003,1.10E+14,1009,,(202) 671-2066,,,,,38.8840876,-76.9770062,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Ascension Healthcare,,1140 Varnum Street NE,Suite 100,Washington,DC,20017,1.10E+14,1009,District of Columbi,202-854-4623,,,,http://,38.9437145,-76.9920551,SU,1,1,,,1,1,1,1,1,1,,,,,,1,,,1,,1,1,1,1,,,,,1,,,,1,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,1,,,,,,1,,,,,,1,,,1,1,,,,,1,1,1,1,1,1,1,,1,1,1,,,1,,1,,,,1,,,1,1,1,1,,,1,1,,,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,1,,1,,1,1,1,1,,,1,,1,1,1,,,1,1,1,1,1,1,,,1,1,1,,1,1,1,,1,1,,,,,1,,,,,,1,1,1,,1,,,,,,1,,,
UPO Comprehensive Treatment Center,,1900 Massachusetts Avenue SE,Building 13,Washington,DC,20003,1.10E+14,1006,District of Columbia,202-682-6599,,,202-682-6592,http://upo.org/ctc,38.8855512,-76.9739373,SU,1,,1,,,,,,,,1,,,,,,,1,1,,1,1,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,,1,,1,,,1,1,,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,,,1,1,1,1,,,,,,1,,,1,1,1,,,,,1,1,1,,,,,1,,1,1,1,1,1,1,1,1,,1,,1,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,1,1,1,1,,,,1,,1,,,,,,
Family and Medical Counseling Service,,2041 Martin Luther King Avenue SE,Suite 303,Washington,DC,20020,1.10E+14,1009,District of Columbia,202-889-7900,,,,http://www.fmcsinc.org,38.8659856,-76.9897776,SU,1,,,,1,,,1,,,,,,,,,,,1,,1,1,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,1,,1,,,1,1,1,1,1,,1,,,1,,1,1,1,1,,,1,,1,,1,,,1,1,1,,1,1,1,,1,1,1,1,,,,1,,,,,,,1,1,,,,1,1,,,,,,1,,,,1,,1,1,,,,,1,1,,1,,,,1,1,,1,1,,,,,,,1,,1,,,,,,,,,
BHG Washington DC Treatment Center,BHG XLVI LLC,1320 Good Hope Road SE,,Washington,DC,20020,1.10E+14,1007,District of Columbia,202-610-1886,,,,http://www.bhgrecovery.com/locations/washington-dc,38.8671603,-76.9863116,SU,1,,1,,,,,,,,1,,,,,,,1,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,1,,,,,1,,1,1,1,1,1,,1,,1,1,,1,1,1,1,,,,,,,,,1,1,1,,1,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,1,1,,,,,1,1,1,,,,1,1,,,1,,1,,1,1,1,,1,,1,1,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,1,,,1,1,1,,,,1,1,,,1,,,
Inner City Family Services Inc,,2307 Martin Luther King Jr Avenue SE,,Washington,DC,20020,1.10E+14,1006,District of Columbia,202-525-4855,,,,http://www.innercityfamilyservices.com,38.8633444,-76.9915438,SU,1,,,,,,,,,,,,,,,1,,,1,,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,1,,1,1,,,,1,1,,,1,1,1,1,1,1,1,,,,,,,,1,1,,,,,,1,1,,,1,,,1,1,1,1,,,1,,,1,,1,1,1,1,,,,1,1,,,,,1,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
"BHG XLVI, LLC",BHG Washington DC Treatment Center,"1320 Good Hope Road, SE",,Washington,DC,20020,1.10E+14,1007,,(202) 610-1886,,,,,38.8634,-76.975,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Aquila Recovery Clinic,,5101 Wisconsin Avenue NW,Suite 325,Washington,DC,20016,1.10E+14,1001,District of Columbia,202-244-1600,,,,http://www.aquilarecovery.com,38.9563213,-77.0829722,SU,1,,,,,,,1,1,1,,,,,1,,,,1,,1,1,1,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,1,1,1,,1,,,,,,1,,,,1,,,,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,1,1,1,1,,1,,,1,1,1,1,1,,,,1,1,1,,1,,1,1,1,,1,,1,1,1,1,,1,,1,,,,,,,1,1,,1,,,,,,,,1,1,1,1,1,,,,,,1,,,,,,,1,1,,,,1,,,1,,1,,1
MBI Health Services LLC,,3000 Pennsylvania Avenue,,Washington,DC,20020,1.10E+14,1009,District of Colu,202-581-0490,,,,http://,38.8712006,-76.963811,SU,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,1,1,1,,,1,,,1,,,1,1,,1,,,,,,,1,1,1,,,1,,,,1,1,1,1,1,1,1,,,,,,,,1,1,,,1,1,,1,1,,,1,,,1,1,1,1,,,,,,,,,,,1,,,1,1,,,,,,1,,1,,,,,,1,,,1,,1,,1,,,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,
New Hope Health Services,,2759 Martin Luther King Avenue SE,,Washington,DC,20032,1.10E+14,1009,District of Columbia,202-827-9961,,,,http://www.nhh-services.com,38.8466224,-76.9966396,SU,1,1,,,,1,,1,,,,,,,,1,,,1,,1,1,1,,1,,,,1,,,,1,,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,1,1,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,,,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,,1,,1,,,,,1,,1,,,1,,,1,1,,,1,,,,,,1,1,1,1,1,1,1,,,,,,1,,,,,,1,1,1,1,,,1,,,1,,,,1
SOME Conway Center,,4420 Benning Road NE,,Washington,DC,20019,1.10E+14,1007,District of Columbia,202-701-1213,,,,http://www.some.org,38.8912303,-76.9382436,SU,1,,,,,,,,1,1,,1,,,,1,,,1,,1,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,1,,,1,1,1,1,,,1,,,1,,1,,1,1,,,,,,,,1,,1,1,1,,1,1,,,,,,1,,1,,1,,1,,1,,,,,,,,1,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
Pilgrim Rest Therapeutic Services Inc,The Better Way Program,4601 Sheriff Road NE,,Washington,DC,20019,1.10E+14,1007,District of Columbia,202-396-4290,,,,http://betterwayprogram.org,38.902558,-76.936376,SU,1,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,1,1,1,,,1,,1,1,,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,,1,,1,1,1,,,1,,,,,1,1,,,1,,,1,,,,1,1,,,,1,1,,1,1,1,,1,1,1,,1,1,,,,,1,,1,,1,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,
