name1,name2,street1,street2,city,state,zip,zip4,county,GEOID,GEOID_Just_Tract,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,dm,bum,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otp,cbt,dbt,tele,saca,trc,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,du,duo,acc,acm,acu,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,opc,sae,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,dlc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,mmd,mpep,fed,sotp,dea,samf,mhpa,hbt,hct,tod,vapn,vapp,vppd,oudo,nx,fx,mws,f36,f4,Column1
Woodbridge Methadone Treatment Center,,8427 Dorsey Circle,Suite 101,Manassas,VA,20110,,Manassas City,5.17E+14,3910,703-330-7517,,,800-440-6310,http://www.methadonetreatmentcenters.com,38.769746,-77.486385,SU,1,,1,,1,,,1,,,1,,,,,,,1,1,,1,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,,,1,1,1,1,,,1,,,1,,,1,1,1,,,,,,,,,,,1,1,,,1,,,1,,1,1,,1,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,1,1,,1,,,,,,1,1,,,,,,
Daily Planet Health Services,,517 West Grace Street,,Richmond,VA,23220,,Richmond City,5.18E+14,30,804-783-2505,,,,http://www.dailyplanetva.org,37.5475499,-77.4478506,SU,1,,,,1,,,1,1,1,,,,,,,,,1,,1,1,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,1,,,,1,,,1,1,1,1,,,1,1,,1,,1,1,1,,1,,1,,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,,,,,,,1,1,,,,1,1,,1,,1,1,1,,,,,,1,1,,1,1,,,,,1,1,1,,,1,,,,,,,,
Addiction Allies LLC,,631 Berkmar Circle,,Charlottesville,VA,22901,1464,Albemarle,5.10E+14,3010,434-962-1645,Intakes,434-400-9668,888-985-0605,http://www.addictionallies.com,38.0858606,-78.4790842,SU,1,1,,,1,1,1,1,1,1,,,,,,,,,1,,1,1,1,,1,,,,1,,,,1,1,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,,1,,1,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,,1,,1,1,,,1,,,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,,1,1,,,,1,,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,,1,,,,,,,1,,,1,1,,1,,1,,1,,1,1,,,1,,,,,1,,,,,,,1,1,,,,1,,,,,,,
"Pinnacle Treatment Centers, VA-I, LLC",FCCR-Southlake,905-C Southlake Blvd.,,Richmond,VA,23236,,,5.10E+14,1100,(804) 419-0492,,,,,37.504936,-77.598127,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Comprehensive Addiction Treatment Services (CATS),Inova CATS Inpatient and Day Treatment Services,3300 Gallows Rd.,,Falls Church,VA,22042,,,5.11E+14,9440,(703) 776-7782,,,,,38.858749,-77.226252,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Snowden at Fredericksburg,,1200 Sam Perry Boulevard,,Fredericksburg,VA,22401,,Fredericksburg City,5.16E+14,0,540-741-3900,,,,http://mwhc.com,38.3089259,-77.4822797,SU,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Boxwood Detox and Recovery Program,,15511 Guinn Lane,,Culpeper,VA,22701,,Culpeper,5.10E+14,7930,540-547-2760,,540-547-2760 x126,,http://www.rrcsb.org,38.492906,-77.957244,SU,1,1,,,,,,,1,1,,,,,,,,,1,,,1,1,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,,,,,1,1,1,,,1,1,1,1,,,,1,,1,1,1,,1,1,1,,,,1,,,,,1,,,,,,,,,,,1,,,1,,1,,,,,1,,1,1,,1,1,,,,,1,1,1,,,,1,1,1,,1,,,,,,,,,
Positive Pathways,,900 Granby Street,Suite 245,Norfolk,VA,23510,,Norfolk City,5.17E+14,4,757-543-1870,,,,http://www.GotMyPath.com,36.8591547,-76.287827,SU,1,,,,,,,,,,,,,,,1,,,1,,1,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,1,,,,1,1,1,,1,1,,,,,1,,,,,,,,1,1,1,,,1,,1,1,1,,1,,1,,,1,1,1,,1,,,1,,1,1,1,1,,,,,,,,,,1,1,1,,,1,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Bacon Street Youth and Family Services,Williamsburg  Office,247 McLaws Circle,,Williamsburg,VA,23185,,James City,5.11E+14,5080,757-253-0111,,,,http://www.baconstreet.org,37.245271,-76.660555,SU,1,,,,,,,1,,,,,,,,1,,,1,,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,1,,1,1,1,1,1,1,,,1,,,,,,,1,,,,,1,,,1,,,,,,,,1,1,1,1,,1,1,1,1,,1,1,,1,,1,1,1,,,1,,,,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,,1,,,1,,1,,1,1,1,,,,1,,,,,,1,1,,,1,,,1,,,,1,,,,,,1,1,,1,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,
Rappahannock Area Comm Servs Board,Spotsylvania Clinic,7424 Brock Road,,Spotsylvania,VA,22553,,Spotsylvania,5.12E+14,7020,540-582-3980,,540-373-3223,,http://www.rappahannockareacsb.org,38.2024504,-77.5928801,SU,1,,,,1,,,1,,,,,,,,1,,,,,1,1,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,1,1,1,1,,1,,,,,,,1,,,1,,,1,1,1,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,,1,1,,,1,,,1,,1,1,1,1,,1,,,,1,,,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,,1,,1,,,,,,,1,1,,1,,,1,1,1,,1,,,,,,,,,1,,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,
Richmond Behavioral Health Authority,,107 South 5th Street,,Richmond,VA,23219,3825,Richmond City,5.18E+14,30,804-819-4000,,,804-241-9621,http://www.rbha.org,37.539087,-77.4407049,SU,1,,,,1,,1,1,1,,,,,,,,,,1,,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,1,,1,1,,,,,,,,,1,1,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,,1,,1,1,,,1,,,,,1,1,,,,,1,1,1,1,1,1,1,,,,,,1,1,1,,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1,1,,1,,1,,1,1,,,,1,,,,,,,1,1,,,,,,,,,1,1,1,1,1,,,,,,,1,,,,,1,1,1,1,,,,1,,,,,,,
Danville Pittsylvania Community Servs,(DPCS),245 Hairston Street,,Danville,VA,24540,,Danville City,5.16E+14,0,434-793-4931,,434-793-4931 x3001,,http://www.dpcs.org,36.5971182,-79.4162761,SU,1,,,,1,,,1,1,1,,,,,,,,,1,,,1,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,1,,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,,,1,1,1,,1,,,,,,,,,,,1,1,1,,,1,,1,1,1,,1,,1,,,1,1,,,1,,,1,1,1,1,1,1,,,,1,,,,1,,1,1,1,,1,1,1,,1,,1,1,,1,,1,1,,,1,,1,1,1,1,1,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,
"Galax Treatment Center, LLC",Christiansburg Comprehensive Treatment Center,"2100 Roanoke St, Ste 1",,Christiansburg,VA,24073,,,5.11E+14,1020,(540) 322-3040,,,,,37.1358036,-80.3694225,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
"Galax Treatment Center, LLC",New River Treatment Center,140 Larkspur Lane,,Galax,VA,24333,,,5.16E+14,70,(276) 236-6341,,,,,36.677039,-80.909176,OTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Poplar Springs Hospital,,350 Poplar Drive,,Petersburg,VA,23805,,Petersburg City,5.17E+14,811,804-733-6874,Intakes,804-733-6874 x3309,866-546-2229,http://www.poplarsprings.com,37.1873426,-77.3591622,SU,1,,,,1,,,1,,,,,,,,1,,,1,,1,1,1,,1,,,1,1,,1,,,,1,1,,,,,,1,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,,,,1,,,,1,1,1,,,,,1,1,,1,,1,1,,,,,,,,1,1,1,,,,,1,1,,,,,1,,,1,1,,,1,,,,,1,1,1,1,,,,,,,1,,,1,,1,,1,1,1,1,,,1,1,,,,,1,1,,,,1,,,,,1,,1,,,1,,1,,,,,,,,,,1,,,1,1,1,,1,,,,,,1,,,,,,1,1,1,,,,1,,,,,,,
